step,time,x_ego,v_ego,x_front,v_front,lane_front,x_cut_in,v_cut_in,lane_cut_in,front_type,front_id,distance_front,v_front_eff,gap_to_v1,gap_to_v2,safe_distance,soft_distance,hard_distance,soft_barrier_distance,hard_barrier_distance,target_gap,gap_error_to_target,gap_excess,soft_violation,hard_violation,front_accel_est,desired_closing_speed,closing_speed,a_ref,too_far,cut_in_happened,cut_in_active,cut_in_this_step,cut_in_left_this_step,cut_in_time,cut_in_leave_time,front_event_type,front_event_timer,cut_in_event_type,cut_in_event_timer,collision,safety_violation,reached_target,a_cmd,a_ego,prev_a_ego,delta_a_ego,a_front,a_cut_in,reward,a_nom,a_ppo_before_cbf,a_cbf_cmd,cbf_correction,abs_cbf_correction,use_cbf,method,scenario,energy_accel_sq_step,gap_error_to_soft
21.0,2.1,42.06696063981041,20.440728062197422,69.74062905180355,18.4849093721458,0.0,49.13788233714663,18.351176941268218,1.0,front,1.0,27.67366841199314,18.4849093721458,27.67366841199314,7.0709216973362174,19.22025552737008,19.22025552737008,12.718909773810395,19.22025552737008,12.718909773810395,20.72025552737008,6.953412884623063,6.953412884623063,0.0,0.0,0.7192501191386214,0.1390682576924612,1.9558186900516252,-0.6064348067961647,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3886420428752899,0.4053211017141317,0.4108807879937456,-0.0055596862796139,0.7192501191386116,0.2569252097800575,-4.15491448207302,0.3886420428752899,0.3886420428752899,0.3886420428752899,0.0,0.0,True,PPO + CBF,normal,0.1642851954947575,
22.0,2.2,44.11503802186658,20.48077382056169,71.59528835662064,18.54659304817089,0.0,50.98091853879304,18.430362016464134,1.0,front,1.0,27.48025033475406,18.54659304817089,27.48025033475406,6.86588051692646,19.222645064727818,19.222645064727818,12.715615455109234,19.222645064727818,12.715615455109234,20.722645064727818,6.757605270026243,6.757605270026243,0.0,0.0,0.6168367602509761,0.1351521054005248,1.9341807723908,-0.6249444863677616,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.385867029428482,0.4004575836427193,0.4053211017141317,-0.0048635180714123,0.616836760250964,0.7918507519591607,-4.074560466916362,0.385867029428482,0.385867029428482,0.385867029428482,0.0,0.0,True,PPO + CBF,normal,0.1603662762969655,
23.0,2.3000000000000003,46.16707380867817,20.520357868115884,73.45142734924164,18.56138992620999,0.0,52.83025195142376,18.49333412630722,1.0,front,1.0,27.284353540563476,18.56138992620999,27.284353540563476,6.663178142745593,19.271182662775423,19.271182662775423,12.749299607365272,19.271182662775423,12.749299607365272,20.771182662775423,6.513170877788049,6.513170877788049,0.0,0.0,0.1479687803909612,0.1302634175557609,1.9589679419058927,-0.756615571909773,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3819891512393951,0.3958404755418883,0.4004575836427193,-0.004617108100831,0.1479687803909454,0.6297210984308865,-4.158324871693611,0.3819891512393951,0.3819891512393951,0.3819891512393951,0.0,0.0,True,PPO + CBF,normal,0.15668968207722825,
24.0,2.4000000000000004,48.22300925455404,20.559354458758705,75.30925501909208,18.578276698504336,0.0,54.68734381473795,18.570918633141915,1.0,front,1.0,27.08624576453804,18.578276698504336,27.08624576453804,6.464334560183914,19.31669043550959,19.31669043550959,12.780636268769042,19.31669043550959,12.780636268769042,20.81669043550959,6.269555329028453,6.269555329028453,0.0,0.0,0.1688677229434532,0.125391106580569,1.9810777602543688,-0.7646290644367185,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3723421990871429,0.3899659064282019,0.3958404755418883,-0.0058745691136863,0.168867722943436,0.7758450683469199,-4.135508502299129,0.3723421990871429,0.3723421990871429,0.3723421990871429,0.0,0.0,True,PPO + CBF,normal,0.1520734081763691,
25.0,2.5,50.282776769951205,20.597675153971704,77.17456684152911,18.6531182243703,0.0,56.549101434631055,18.61757619893101,1.0,front,1.0,26.89179007157791,18.6531182243703,26.89179007157791,6.26632466467985,19.303162021984427,19.303162021984427,12.76483184757122,19.303162021984427,12.76483184757122,20.803162021984427,6.088628049593481,6.088628049593481,0.0,0.0,0.7484152586596338,0.1217725609918696,1.944556929601404,-0.6057503249862115,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3629300892353058,0.3832069521299779,0.3899659064282019,-0.006758954298224,0.748415258659638,0.4665756578909618,-3.888515124216552,0.3629300892353058,0.3629300892353058,0.3629300892353058,0.0,0.0,True,PPO + CBF,normal,0.14684756816074718,
26.0,2.6,52.3463204252523,20.63543655301097,79.0458294722514,18.712626307222894,0.0,58.41571073190429,18.66609297273225,1.0,front,1.0,26.699509046999097,18.712626307222894,26.699509046999097,6.069390306651982,19.30407217759465,19.30407217759465,12.760650990184295,19.30407217759465,12.760650990184295,20.80407217759465,5.895436869404445,5.895436869404445,0.0,0.0,0.5950808285259868,0.1179087373880889,1.922810245788071,-0.6369060057361753,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3608351051807403,0.3776139903926685,0.3832069521299779,-0.0055929617373093,0.5950808285260041,0.4851677380124178,-3.816547902568914,0.3608351051807403,0.3608351051807403,0.3608351051807403,0.0,0.0,True,PPO + CBF,normal,0.14259232574027436,
27.0,2.7,54.41358879796842,20.6726837271612,80.91929718981606,18.7346771756466,0.0,60.28903111082769,18.733203789234075,1.0,front,1.0,26.50570839184764,18.7346771756466,26.50570839184764,5.875442312859271,19.341616787811315,19.341616787811315,12.785844545718096,19.341616787811315,12.785844545718096,20.841616787811315,5.664091604036326,5.664091604036326,0.0,0.0,0.2205086842370107,0.1132818320807265,1.9380065515145968,-0.7405105404678257,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3570449948310852,0.3724717415022727,0.3776139903926685,-0.0051422488903958,0.2205086842370117,0.6711081650182045,-3.860781696515221,0.3570449948310852,0.3570449948310852,0.3570449948310852,0.0,0.0,True,PPO + CBF,normal,0.13873519821773586,
28.0,2.8000000000000003,56.48452243814955,20.70933640181121,82.80184193773745,18.825447479213807,0.0,62.16557345745824,18.765423466305464,1.0,front,1.0,26.317319499587903,18.825447479213807,26.317319499587903,5.68105101930869,19.309490763684128,19.309490763684128,12.755378878711849,19.309490763684128,12.755378878711849,20.809490763684128,5.507828735903775,5.507828735903775,0.0,0.0,0.9077030356720784,0.1101565747180755,1.883888922597404,-0.546468568316111,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3486917614936828,0.3665267465001252,0.3724717415022727,-0.0059449950021474,0.907703035672076,0.322196770713901,-3.568166655760508,0.3486917614936828,0.3486917614936828,0.3486917614936828,0.0,0.0,True,PPO + CBF,normal,0.13434185589996703,
29.0,2.9000000000000004,58.55907757961065,20.74555141461105,84.68464507921112,18.82803141473666,0.0,64.04922967157862,18.836562141203764,1.0,front,1.0,26.12556749960047,18.82803141473666,26.12556749960047,5.490152091967964,19.364850848641023,19.364850848641023,12.794958995013385,19.364850848641023,12.794958995013385,20.864850848641023,5.260716650959445,5.260716650959445,0.0,0.0,0.025839355228534,0.1052143330191889,1.9175199998743933,-0.7854044863483911,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3490202724933624,0.3621501279984345,0.3665267465001252,-0.0043766185016906,0.0258393552285427,0.7113867489829874,-3.7443492655833706,0.3490202724933624,0.3490202724933624,0.3490202724933624,0.0,0.0,True,PPO + CBF,normal,0.13115271520928248,
30.0,3.0,60.63719512398556,20.7811754437491,86.57233400687709,18.87688927665959,0.0,65.93217183344343,18.82942161864821,1.0,front,1.0,25.93513888289152,18.87688927665959,25.93513888289152,5.29497670945787,19.372991433338967,19.372991433338967,12.796840338983792,19.372991433338967,12.796840338983792,20.872991433338967,5.062147449552555,5.062147449552555,0.0,0.0,0.488578619229294,0.1012429489910511,1.9042861670895093,-0.6664451298139962,False,False,False,False,False,,,normal,0.0,normal,0.0,False,False,False,0.3385107815265655,0.3562402913804673,0.3621501279984345,-0.0059098366179672,0.4885786192293006,-0.0714052255555237,-3.565194829026157,0.3385107815265655,0.3385107815265655,0.3385107815265655,0.0,0.0,True,PPO + CBF,normal,0.12690714520284024,
