collision,num_safety_violations,min_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method
False,0,9.366846378955984,12.190133703764515,357.10270208028965,0.48045410031763214,26,RL
False,0,8.10223400398229,12.108681541939273,353.30392931148606,0.5305391997750849,27,RL
False,0,9.47309881023898,11.839902673478228,346.2336991044519,0.4845788308698684,28,RL
False,0,8.372649887228079,11.243968022182578,326.840714634749,0.5287105898279697,29,RL
False,0,7.64257411500131,12.079250626526765,351.155724138751,0.5387185822799802,30,RL
False,0,8.295660789440376,10.790453321448524,312.2756479639942,0.5358996253740043,31,RL
False,0,10.240376945558694,12.114098635119381,355.69876224755535,0.43957800390198826,32,RL
False,0,10.749570416458312,13.353803190371945,392.76824767906857,0.41638301270082595,33,RL
False,0,8.273602762943653,10.278224572284158,296.12993249876615,0.5563328192848712,34,RL
False,0,11.867102752256017,13.931033135008068,411.40790909483576,0.37540881655489405,35,RL
False,0,9.336190867024868,12.327726037993104,359.5384057360036,0.49453862708061935,36,RL
False,0,9.908914277669908,12.062920573701145,353.5611483077121,0.4630809243923674,37,RL
False,0,10.11671632955722,13.466987925102925,397.2146359174044,0.4293686357326806,38,RL
False,0,13.276092885824767,13.804314580599788,409.27030588271896,0.3331405190906177,39,RL
False,0,7.699521020630584,10.196443961577485,293.36245521950553,0.5932775370776653,40,RL
False,0,7.415102613511294,10.169486969121731,292.2668366698905,0.6057976960390806,41,RL
False,0,7.156237551746585,9.572046929772016,272.78440632022335,0.6397805676795543,42,RL
False,0,7.61537349168475,10.621010555076413,306.1257777487027,0.5795571046695113,43,RL
False,0,9.257798198992191,11.633458954246715,339.1576272272714,0.49992195547558366,44,RL
False,0,8.83699033564568,11.83834329756536,345.27584486372723,0.4960322348990788,45,RL
False,0,5.760633492736673,6.550089017194684,173.46630438165707,0.8270091495476664,46,RL
False,0,12.040780341454933,13.26246551857144,391.5053247073808,0.3651808811010172,47,RL
False,0,6.969222222211329,10.763829288710367,309.3437061664494,0.5861510688423489,48,RL
False,0,8.707785327399904,12.252032726035464,358.33867689340786,0.49948913815120854,49,RL
False,0,12.637743859399393,11.66677543817275,335.1762535075419,0.550028749567767,0,RL + CBF
False,0,11.502864740568668,10.123744537910476,284.7339320503613,0.6628451798701038,1,RL + CBF
False,0,13.15434456089082,12.02965231217725,346.806773412054,0.5245968258287758,2,RL + CBF
False,0,11.90493944060188,11.618531281366941,332.5634018696974,0.5692472588270903,3,RL + CBF
False,0,13.34487049636084,13.018673756159846,377.3700703356965,0.5236290513662001,4,RL + CBF
False,0,12.265655466015744,11.330649448530755,323.79559155846437,0.5812188354848573,5,RL + CBF
False,0,11.770149563905875,11.146654011251401,318.1999387262746,0.5984877597602705,6,RL + CBF
False,0,11.574426263991882,11.102474803704784,316.89708868920866,0.60594714423952,7,RL + CBF
False,0,12.045625883122796,11.634030900875102,333.3924707532128,0.5669968566143264,8,RL + CBF
False,0,12.725619297537605,11.84248230148201,340.25838942605293,0.5395823961899926,9,RL + CBF
False,0,10.622358700470329,10.126730092669836,285.30834424986654,0.6622828308151414,10,RL + CBF
False,0,12.655483990468554,11.95285503886733,343.2189962528636,0.5449977679612736,11,RL + CBF
False,0,12.278000169700135,11.658913844023845,334.25078334204863,0.5700560262457778,12,RL + CBF
False,0,9.8796314053576,8.376448547223898,232.0493112322037,0.6927192780716965,13,RL + CBF
False,0,13.30914214750834,12.531868151905957,361.70220155220557,0.5451202489218364,14,RL + CBF
False,0,11.200269417628931,9.865286797601748,276.5027148612072,0.6586710273598632,15,RL + CBF
False,0,10.478435032389143,10.032739109322431,282.38831809431355,0.6428561404999346,16,RL + CBF
False,0,13.838213170548215,14.065076185940757,410.7576781397085,0.42924803888735674,17,RL + CBF
False,0,13.151619732958466,12.892640039995326,373.08135316254067,0.5255500556528568,18,RL + CBF
False,0,10.936905260372214,10.19956968369895,288.5683053349013,0.6468726239570727,19,RL + CBF
False,0,12.274059689478179,12.889853768282583,372.44059226148863,0.5534610612131655,20,RL + CBF
False,0,12.873781889750205,12.047305366173408,346.81200983853284,0.5445159016394366,21,RL + CBF
False,0,11.498453796627075,11.643291337998592,334.1385799681097,0.5754417351850619,22,RL + CBF
False,0,10.357987186544676,8.702991059569023,241.9416678916075,0.7056568986891458,23,RL + CBF
False,0,12.39233132742686,11.634421262735504,334.95252043122616,0.5415465680571894,24,RL + CBF
False,0,11.389268440080343,10.472783793761408,297.3783570337131,0.6182782995483528,25,RL + CBF
False,0,12.812242731011963,12.075287158695978,347.9501403222887,0.5496164644913127,26,RL + CBF
False,0,12.058682656316478,11.976799920194795,344.3602661714767,0.574738062415272,27,RL + CBF
False,0,12.618665546800287,11.735050448926188,337.59428888716684,0.5502112626532714,28,RL + CBF
False,0,12.115541317412067,11.119204974509772,317.9336284302658,0.584271833791087,29,RL + CBF
False,0,11.971581583230488,11.93486230764446,341.63799304986964,0.5997807411818454,30,RL + CBF
False,0,12.244215012009818,10.658611937836758,303.13057313680395,0.579371838423734,31,RL + CBF
False,0,13.40875143797291,12.008486152038907,346.15466303215743,0.5331981670670212,32,RL + CBF
False,0,13.707622414924401,13.255201457089731,384.1123792429289,0.5196762654495736,33,RL + CBF
False,0,11.736475750988632,10.159930856974794,287.78290863415293,0.592406548478951,34,RL + CBF
False,0,14.485492197451606,13.855400737501677,404.78959876062254,0.44009650753811,35,RL + CBF
False,0,12.565687525703481,12.222102267051133,352.8837678652338,0.5228030234885712,36,RL + CBF
False,0,13.046278390525572,11.958137683964345,345.0483962597672,0.5194667863162855,37,RL + CBF
False,0,13.497208417383092,13.354304855508731,388.66745049566833,0.4824856343306601,38,RL + CBF
False,0,15.04436354855045,13.745372225175615,402.3299973043458,0.4315924835484475,39,RL + CBF
False,0,11.719556994821858,10.105410702257428,286.79719418896485,0.6097671678972741,40,RL + CBF
False,0,11.065920518645555,10.048535668807117,283.6696800222225,0.636170568636929,41,RL + CBF
False,0,10.995153157035247,9.464833876576279,265.5861266764287,0.6655626078415662,42,RL + CBF
False,0,11.446916775784928,10.493139087198303,297.07233797085473,0.6090197671173762,43,RL + CBF
False,0,12.566020803115975,11.523542622410696,330.6918292878594,0.5626571678028752,44,RL + CBF
False,0,12.582310808400393,11.713509460624307,335.43286106987847,0.5652260330722978,45,RL + CBF
False,0,9.39654512544817,6.428326501671533,169.22555377005762,0.7983532808627933,46,RL + CBF
False,0,14.449136047854552,13.182186995024782,383.3286211541416,0.46586834034882485,47,RL + CBF
False,0,11.110763172426743,10.62577792370319,300.1504693908654,0.6422233820675561,48,RL + CBF
False,0,12.395422638377738,12.129111482336212,349.3870584793186,0.5592277204897255,49,RL + CBF
