step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
11,1.1,22.050000000000008,19.300000000000004,1,43.031570543887284,11.765639062291601,0,35.595384537257445,16.045823046210533,1,13.545384537257437,14.650000000000002,20.981570543887276,999.0,False,True,False,False,-2.5,-8.695,-2.0,0,0,True,blocked_by_front
12,1.2000000000000002,23.95500000000001,19.050000000000004,1,44.20626869189804,11.746981480107525,0,37.20189006803519,16.065055307777463,1,13.246890068035182,14.525000000000002,20.25126869189803,999.0,False,True,False,False,-2.5,-8.719999999999999,-2.0,0,0,True,blocked_by_front
13,1.3,25.835000000000008,18.800000000000004,1,45.38473073143175,11.784620395337129,0,38.812341665447974,16.10451597412785,1,12.977341665447966,14.400000000000002,19.549730731431744,999.0,False,True,False,False,-2.5,-8.745,-2.0,0,0,True,blocked_by_front
14,1.4000000000000001,27.69000000000001,18.550000000000004,1,46.559043213079164,11.743124816474106,0,40.41818381069309,16.05842145245114,1,12.728183810693078,14.275000000000002,18.869043213079156,999.0,False,True,False,False,-2.5,-8.77,-2.0,0,0,True,blocked_by_front
15,1.5,29.52000000000001,18.300000000000004,1,47.73005399892222,11.710107858430563,0,42.0278073809725,16.09623570279408,1,12.507807380972487,14.150000000000002,18.210053998922213,999.0,False,True,False,False,-2.5,-8.795,-2.0,0,0,True,blocked_by_front
16,1.6,31.32500000000001,18.050000000000004,1,48.89704825310361,11.669942541813867,0,43.636642027501956,16.088346465294585,1,12.311642027501946,14.025000000000002,17.572048253103603,999.0,False,True,False,False,-2.5,-8.82,-2.0,0,0,True,blocked_by_front
17,1.7000000000000002,33.10500000000001,17.800000000000004,1,50.0686214025865,11.715731494828917,0,45.245808326881146,16.091662993791886,1,12.140808326881135,13.900000000000002,16.96362140258649,999.0,False,True,False,False,-2.5,-8.844999999999999,-2.0,0,0,True,blocked_by_front
18,1.8,34.860000000000014,17.550000000000004,1,51.2421133232089,11.734919206223964,0,46.8531297825704,16.07321455689249,1,11.993129782570385,13.775000000000002,16.382113323208884,999.0,False,True,False,False,-2.5,-8.87,-2.0,0,0,True,blocked_by_front
19,1.9000000000000001,36.59000000000002,17.300000000000004,1,52.41747025310811,11.753569298992122,0,48.46379749497862,16.10667712408223,1,11.873797494978604,13.650000000000002,15.827470253108089,999.0,False,True,False,False,-2.5,-8.895,-2.0,0,0,True,blocked_by_front
20,2.0,38.295000000000016,17.050000000000004,1,53.58801006578076,11.705398126726541,0,50.07696665053629,16.131691555576726,1,11.781966650536276,13.525000000000002,15.293010065780742,999.0,False,True,False,False,-2.5,-8.92,-2.0,0,0,True,blocked_by_front
21,2.1,39.975000000000016,16.800000000000004,1,54.76343848934248,11.75428423561719,0,51.69261746263776,16.15650812101471,1,11.717617462637747,13.400000000000002,14.788438489342461,999.0,False,True,False,False,-2.5,-8.945,-2.0,0,0,True,blocked_by_front
22,2.2,41.63000000000002,16.550000000000004,1,55.93667135282484,11.73232863482363,0,53.31116106802375,16.18543605385986,1,11.681161068023734,13.275000000000002,14.306671352824821,999.0,False,True,False,False,-2.5,-8.969999999999999,-2.0,0,0,True,blocked_by_front
23,2.3000000000000003,43.26000000000002,16.300000000000004,1,57.105936476372975,11.692651235481396,0,54.929183608671494,16.18022540647745,1,11.669183608671474,13.150000000000002,13.845936476372955,999.0,False,True,False,False,-2.5,-8.995,-2.0,0,0,True,blocked_by_front
