step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
14,1.4000000000000001,27.830000000000013,18.90000000000001,1,46.559043213079164,11.743124816474106,0,40.41818381069309,16.05842145245114,1,12.588183810693074,14.450000000000005,18.72904321307915,999.0,False,True,False,False,-2.0,-8.51,-2.0,0,0,False,blocked_by_front
15,1.5,29.700000000000014,18.70000000000001,1,47.73005399892222,11.710107858430563,0,42.0278073809725,16.09623570279408,1,12.327807380972484,14.350000000000005,18.03005399892221,999.0,False,True,False,False,-2.0,-8.53,-2.0,0,0,False,blocked_by_front
16,1.6,31.550000000000015,18.50000000000001,1,48.89704825310361,11.669942541813867,0,43.636642027501956,16.088346465294585,1,12.086642027501941,14.250000000000005,17.347048253103598,999.0,False,True,False,False,-2.0,-8.549999999999999,-2.0,0,0,False,blocked_by_front
17,1.7000000000000002,33.38000000000002,18.30000000000001,1,50.0686214025865,11.715731494828917,0,45.245808326881146,16.091662993791886,1,11.86580832688113,14.150000000000006,16.688621402586485,999.0,False,True,False,False,-2.0,-8.569999999999999,-2.0,0,0,False,blocked_by_front
18,1.8,35.19000000000002,18.100000000000012,1,51.2421133232089,11.734919206223964,0,46.8531297825704,16.07321455689249,1,11.66312978257038,14.050000000000006,16.05211332320888,999.0,False,True,False,False,-2.0,-8.589999999999998,-2.0,0,0,False,blocked_by_front
19,1.9000000000000001,36.98000000000002,17.900000000000013,1,52.41747025310811,11.753569298992122,0,48.46379749497862,16.10667712408223,1,11.483797494978603,13.950000000000006,15.437470253108089,999.0,False,True,False,False,-2.0,-8.61,-2.0,0,0,False,blocked_by_front
20,2.0,38.75000000000002,17.700000000000014,1,53.58801006578076,11.705398126726541,0,50.07696665053629,16.131691555576726,1,11.32696665053627,13.850000000000007,14.838010065780736,999.0,False,True,False,False,-2.0,-8.629999999999999,-2.0,0,0,False,blocked_by_front
21,2.1,40.50000000000002,17.500000000000014,1,54.76343848934248,11.75428423561719,0,51.69261746263776,16.15650812101471,1,11.192617462637742,13.750000000000007,14.263438489342455,999.0,False,True,False,False,-2.0,-8.649999999999999,-2.0,0,0,False,blocked_by_front
22,2.2,42.230000000000025,17.300000000000015,1,55.93667135282484,11.73232863482363,0,53.31116106802375,16.18543605385986,1,11.081161068023725,13.650000000000007,13.706671352824813,999.0,False,True,False,False,-2.0,-8.669999999999998,-2.0,0,0,False,blocked_by_front
23,2.3000000000000003,43.940000000000026,17.100000000000016,1,57.105936476372975,11.692651235481396,0,54.929183608671494,16.18022540647745,1,10.989183608671468,13.550000000000008,13.165936476372949,999.0,False,True,False,False,-2.0,-8.69,-2.0,0,0,False,blocked_by_front
