reached_target,travel_time,collision,safety_violations,cut_in_happened,cut_out_happened,min_front_distance,mean_front_distance,mean_speed,max_speed,total_reward,mean_abs_acceleration,mean_cbf_correction,max_cbf_correction,cbf_intervention_rate,seed,method,scenario
False,19.400000000000002,True,98,False,False,1.9992971330245837,15.764885503900665,21.57239361447715,22.74971395912219,-7106.710342262202,0.27429460771253367,0.0,0.0,0.0,14,PPO without CBF,normal
False,14.200000000000001,True,95,False,False,1.9443181091613724,10.573030976751904,21.112143325793152,21.477308249165585,-6748.727957516934,0.08599870728456337,0.0,0.0,0.0,15,PPO without CBF,normal
False,18.900000000000002,True,82,False,False,1.8527757027131884,16.908884302583278,21.31566301213497,22.367452601671374,-5969.119445923427,0.2933306762104054,0.0,0.0,0.0,16,PPO without CBF,normal
False,24.900000000000002,True,35,False,False,1.742588639341534,20.17487198228961,22.72402295837868,24.522213278008874,-3489.5593881608866,0.4618220076539836,0.0,0.0,0.0,17,PPO without CBF,normal
False,16.400000000000002,True,78,False,False,1.8998436112688637,15.628509764831117,21.74316366131668,22.66750644518314,-5704.373141795753,0.26641719783766055,0.0,0.0,0.0,18,PPO without CBF,normal
False,13.4,True,26,False,False,1.9574172427793997,22.55129739895404,21.073071431965143,22.259889390327167,-2720.395352782327,0.49206115831838654,0.0,0.0,0.0,19,PPO without CBF,normal
True,191.60000000000002,False,125,True,True,3.452431768373117,57.96176901398853,20.877146219607475,36.11111111111111,-20916.072225876487,0.7743286276694729,0.13395038345265128,3.8454260528087616,0.1477035490605428,0,PPO + CBF,normal
True,181.60000000000002,False,131,True,True,7.793513140757113,59.893793831105576,22.037097877576567,36.11111111111111,-19362.338867525505,0.8222039325624378,0.1169244027882199,3.4977659583091736,0.17290748898678415,1,PPO + CBF,normal
True,200.0,False,345,True,True,4.938670661052129,29.853875878301217,20.006530772881888,33.4384955458013,-24524.571545155777,0.7090125758002268,0.19044777138489297,4.206242680549622,0.278,2,PPO + CBF,normal
False,50.7,True,35,True,False,1.8080834247107305,20.627820040570274,19.928263637744397,24.367602626119854,-3380.657659715216,0.604934234156424,0.19501383864369187,3.599305212497711,0.11834319526627218,3,PPO + CBF,normal
True,193.8,False,251,True,True,4.130220644683277,70.26995857630179,20.649452769366935,36.11111111111111,-23009.003965597265,0.7571120159767594,0.1428968951184803,3.7926668524742126,0.2084623323013416,4,PPO + CBF,normal
True,200.70000000000002,False,93,True,True,7.770063959604158,33.58567842219299,19.932220808475662,36.11111111111111,-19080.54188957077,0.7244693739148369,0.1417943750946877,3.5092867612838745,0.13502740408570005,5,PPO + CBF,normal
True,172.60000000000002,False,116,True,True,7.577024463851444,86.92261471740035,23.179048066512575,36.11111111111111,-18251.980981840992,0.8302254829310893,0.13248790230678648,3.684303343296051,0.17439165701042875,6,PPO + CBF,normal
True,179.70000000000002,False,115,True,True,7.552373103857292,78.43271375732395,22.267416146892813,36.11111111111111,-19100.07161025567,0.9149757543492002,0.13774635642414532,3.6716665029525757,0.13912075681691707,7,PPO + CBF,normal
True,196.8,False,93,True,True,5.7069332367761945,29.702718199861756,20.332185851764486,31.56796882547436,-16581.256982476476,0.5982852474419202,0.0980118552963142,3.7681736946105957,0.11788617886178862,8,PPO + CBF,normal
True,193.70000000000002,False,90,True,True,8.09736597529809,38.01151262582644,20.653066558319956,36.11111111111111,-16801.523221026007,0.7482208385946031,0.13181657285047776,3.5718024489780267,0.13009808982963345,9,PPO + CBF,normal
True,191.4,False,213,True,True,7.390033191158409,47.85292509915081,20.904711631216966,36.11111111111111,-22974.77295806158,0.653123574239673,0.10944079079632642,3.308552920818329,0.23197492163009403,10,PPO + CBF,normal
True,197.0,False,445,True,True,7.304973160509007,32.58283544914825,20.308325641424258,36.11111111111111,-28893.050411322736,0.6944610257608468,0.2230797180743075,3.5761303305625916,0.3868020304568528,11,PPO + CBF,normal
True,199.4,False,147,True,True,7.248964901022191,32.45124922631455,20.0695728222235,35.541123065067566,-19506.557570873854,0.7448559692660628,0.165294521394035,3.595633327960968,0.1629889669007021,12,PPO + CBF,normal
True,195.4,False,194,True,True,7.369958497994276,33.42533908432929,20.47179297261429,35.063032585225045,-20441.173387999457,0.5910163326331921,0.12821780539376562,3.2744688630104064,0.1668372569089048,13,PPO + CBF,normal
True,199.8,False,241,True,True,7.535878343220247,30.098611407836447,20.024492791532975,35.250637573645584,-23574.6192856048,0.7732207875042237,0.21055198708522105,4.149838000535965,0.22722722722722724,14,PPO + CBF,normal
True,202.8,False,155,True,True,7.333108298921786,49.22326185818526,19.72699404366127,36.11111111111111,-24063.890927821234,0.9810004899088853,0.2021634870480589,3.426691949367523,0.15680473372781065,15,PPO + CBF,normal
True,196.8,False,113,True,True,8.522854391547355,64.68710320137231,20.33954002557838,36.11111111111111,-20666.626585932605,0.6306278841620481,0.07200736838373512,3.2270176832874617,0.14278455284552846,16,PPO + CBF,normal
