reached_target,travel_time,collision,safety_violations,too_far_steps,cut_in_happened,cut_in_time,min_front_distance,mean_front_distance,mean_speed,total_reward,mean_abs_acceleration,seed,method,scenario
True,198.70000000000002,False,15,204,True,54.7,11.26891182466943,38.151931898989545,20.133107083585053,3849.8703775083504,0.8691494715651736,9,CBF,normal
True,179.10000000000002,False,0,334,True,55.6,12.769087211009719,202.51806228783104,22.34596934023612,4041.1611088362893,0.49134561697375767,10,CBF,normal
True,199.20000000000002,False,10,103,True,53.1,9.223790831998485,24.110295447851552,20.085215301691726,4113.787888096992,0.5797690763052209,11,CBF,normal
True,200.10000000000002,False,12,59,True,49.1,12.084399443364873,21.67769327454855,19.99360289375648,4009.6549390406726,0.8874062968515742,12,CBF,normal
True,199.8,False,17,103,True,59.6,11.402709718730648,25.4208584443825,20.026595428081016,3929.6757665305877,0.8305305305305306,13,CBF,normal
True,198.0,False,15,220,True,51.6,10.898085487635058,40.32433466654323,20.211854183171603,3827.2451282679776,0.8379797979797982,14,CBF,normal
True,204.8,False,8,118,True,53.6,12.544453692287334,24.90684625551501,19.536100867199444,4074.1324576024454,0.696240234375,15,CBF,normal
True,197.70000000000002,False,10,157,True,49.800000000000004,11.311526654558065,29.20445258194066,20.232709081409226,3950.7305853946036,0.8323722812341933,16,CBF,normal
True,207.5,False,2,0,True,54.5,11.847477852391648,19.905707044935394,19.28045760110992,4241.820952230308,0.759710843373494,17,CBF,normal
True,196.4,False,20,146,True,51.900000000000006,7.876176952221158,27.86868592086272,20.371354400766922,3936.2670043106236,0.6623727087576375,18,CBF,normal
True,208.60000000000002,False,9,84,True,53.800000000000004,11.48955629848524,23.01731319372371,19.182641597793562,4101.331037299738,0.6748801534036434,19,CBF,normal
True,194.60000000000002,False,23,132,True,66.0,5.991563653019057,28.516306018931125,20.56045228961221,3877.475015558537,0.7807297019527236,20,CBF,normal
True,200.10000000000002,False,26,103,True,53.400000000000006,2.312052933014911,24.359315738230563,19.99730831883872,3849.867394599628,0.8202898550724638,21,CBF,normal
True,202.8,False,16,91,True,52.7,8.737999499943498,23.471424895554375,19.72854136048078,3994.2321879055016,0.8152859960552269,22,CBF,normal
True,198.3,False,2,202,True,54.7,12.669412386319664,39.11857505667175,20.177234904019723,4006.806681467111,0.8111447302067575,23,CBF,normal
True,200.20000000000002,False,11,127,True,52.2,10.659990468594515,26.688245788913044,19.98637290964737,3987.353856511404,0.8081918081918081,24,CBF,normal
True,201.4,False,27,127,True,51.5,3.002498129448668,27.21310736169103,19.866976189011233,3839.5600044668627,0.7544687189672294,25,CBF,normal
True,202.10000000000002,False,0,214,True,64.5,11.402857118891006,39.992047968598406,19.795322195457807,4000.4066157020234,0.8112815437902028,26,CBF,normal
True,197.9,False,22,91,True,51.7,6.963832549387689,23.472497837633842,20.21938892656259,3879.685068566737,0.930166750884285,27,CBF,normal
True,203.3,False,5,96,True,52.800000000000004,12.361892256968304,24.783242338789538,19.678868545152557,4112.189975229516,0.6777176586325628,28,CBF,normal
True,198.4,False,31,127,True,51.800000000000004,9.16048830149407,26.224703323488022,20.169379660022305,3765.4609245484253,0.7940524193548387,29,CBF,normal
True,205.8,False,13,124,True,52.900000000000006,9.596521017985651,26.65948926352403,19.44370242415668,3999.486958891446,0.6768221574344023,30,CBF,normal
True,194.10000000000002,False,18,215,True,48.6,8.964642895387101,39.75299405487995,20.610402818841948,3831.140187137222,0.7473982483256055,31,CBF,normal
